Audi A7-1,59471.78571428572,6475,125
Audi Q8-2,61227.0,8380,98
Audi S5-3,48476.07142857143,8525,49
Cadillac Escalade-4,68167.57142857143,7034,76
Porsche Cayenne-5,70437.07142857143,1488,66
Maserati Levante-6,62388.42857142857,6376,180
Maserati Levante-7,62388.42857142857,6376,180
Maserati Quattroporte-8,82015.0,6321,99
Maserati Quattroporte-9,82015.0,6321,99
Maserati Quattroporte-10,82015.0,6321,99
Cadillac Escalade-11,64270.5,10831,75
BMW M8-12,133831.7857142857,387,45
Merceds-Benz E-Class-13,53187.5,3557,112
Merceds-Benz E-Class-14,53187.5,3557,112
Audi A8-15,60795.28571428572,13399,76
BMW 7 Series-16,75059.0,3963,105
Porsche Macan-17,59160.857142857145,3785,67
BMW X7-19,69955.71428571429,2244,101
BMW M2-22,56896.92307692308,1942,100
BMW M8-23,133831.7857142857,387,45
Merceds-Benz G-Class-24,196546.42857142858,681,41
BMW X7-25,69955.71428571429,2244,101
Merceds-Benz E-Class-26,53187.5,3557,112
Merceds-Benz GLS-Class-28,70250.57142857143,3364,62
Porsche Cayenne-29,72527.14285714286,6576,69
Porsche Macan-30,59160.857142857145,3785,67
BMW X5-31,54306.28571428572,2339,70
BMW X6-32,67962.85714285714,402,18
BMW X7-33,69955.71428571429,2244,101
BMW X7-34,69955.71428571429,2244,101
Merceds-Benz C-Class-36,38729.357142857145,2879,114
Merceds-Benz C-Class-37,38729.357142857145,2879,114
Audi Q8-38,69658.57142857143,211,51
Merceds-Benz GLS-Class-39,70250.57142857143,3364,62
Merceds-Benz S-Class-40,82583.07142857143,9622,61
Porsche Panamera-41,94555.71428571429,15,96
Audi Q8-42,69658.57142857143,211,51
BMW M5-43,106433.61538461539,969,68
Merceds-Benz CLS-Class-44,74436.28571428571,356,83
Merceds-Benz S-Class-45,82583.07142857143,9622,61
Merceds-Benz E-Class-46,53187.5,3557,112
Merceds-Benz GLE-Class-47,52587.21428571428,4236,101
Merceds-Benz GLE-Class-48,52587.21428571428,4236,101
Merceds-Benz GLS-Class-49,70250.57142857143,3364,62
Merceds-Benz GLS-Class-50,70250.57142857143,3364,62
Audi Q8-51,69658.57142857143,211,51
Merceds-Benz GLE-Class-52,52587.21428571428,4236,101
Merceds-Benz GLS-Class-53,70250.57142857143,3364,62
Chevrolet Traverse-54,34651.357142857145,3384,46
Ford Explorer-55,37311.857142857145,3590,33
Honda Pilot-56,37031.57142857143,3274,67
Kia Telluride-57,35767.142857142855,10616,22
Subaru Ascent-58,34275.857142857145,3465,52
BMW M8-59,133831.7857142857,387,45
BMW X5-64,51044.142857142855,8549,46
Chevrolet Traverse-65,34651.357142857145,3384,46
Chevrolet Traverse-66,34651.357142857145,3384,46
Ford Explorer-67,37311.857142857145,3590,33
Ford Explorer-68,37311.857142857145,3590,33
Jeep Cherokee-69,25851.714285714286,8498,51
Jeep Cherokee-70,25851.714285714286,8498,51
Subaru Ascent-71,34275.857142857145,3465,52
Subaru Ascent-72,34275.857142857145,3465,52
Chevrolet Traverse-73,34651.357142857145,3384,46
Chevrolet Traverse-74,34651.357142857145,3384,46
Chevrolet Traverse-75,34651.357142857145,3384,46
Honda Pilot-76,37031.57142857143,3274,67
Honda Pilot-77,37031.57142857143,3274,67
Honda Pilot-78,37031.57142857143,3274,67
Audi A8-79,60795.28571428572,13399,76
Chevrolet Blazer-80,32826.857142857145,4850,34
null-81,27478.071428571428,6645,54
null-82,27478.071428571428,6645,54
null-83,27478.071428571428,6645,54
Honda Pilot-84,37031.57142857143,3274,67
Kia Telluride-87,35767.142857142855,10616,22
Lincoln Navigator-89,77011.14285714286,24,47
Honda HR-V-90,20514.714285714286,34,57
Honda HR-V-91,20425.85714285714,4,27
BMW M8-93,133831.7857142857,387,45
BMW X5-94,54306.28571428572,2339,70
Tesla Model S-95,79900.0,2651,22
Tesla Model S-96,79900.0,2651,22
